trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type
T4ANA151,05:00:00,05:00:00,20,1,0
T4ANA152,05:19:00,05:19:00,20,1,0
T4ANA153,05:40:00,05:40:00,20,1,0
T4ANA154,05:59:00,05:59:00,20,1,0
T4ANA155,06:19:00,06:19:00,20,1,0
T4ANA156,06:38:00,06:38:00,20,1,0
T4ANA157,06:54:00,06:54:00,20,1,0
T4ANA158,07:02:00,07:02:00,20,1,0
T4ANA159,07:10:00,07:10:00,20,1,0
T4ANA1510,07:18:00,07:18:00,20,1,0
T4ANA1511,07:26:00,07:26:00,20,1,0
T4ANA1512,07:34:00,07:34:00,20,1,0
T4ANA1513,07:42:00,07:42:00,20,1,0
T4ANA1514,07:50:00,07:50:00,20,1,0
T4ANA1515,07:58:00,07:58:00,20,1,0
T4ANA1516,08:06:00,08:06:00,20,1,0
T4ANA1517,08:14:00,08:14:00,20,1,0
T4ANA1518,08:22:00,08:22:00,20,1,0
T4ANA1519,08:30:00,08:30:00,20,1,0
T4ANA1520,08:38:00,08:38:00,20,1,0
T4ANA1521,08:46:00,08:46:00,20,1,0
T4ANA1522,08:54:00,08:54:00,20,1,0
T4ANA1523,09:02:00,09:02:00,20,1,0
T4ANA1524,09:10:00,09:10:00,20,1,0
T4ANA1525,09:18:00,09:18:00,20,1,0
T4ANA1526,09:26:00,09:26:00,20,1,0
T4ANA1527,09:34:00,09:34:00,20,1,0
T4ANA1528,09:42:00,09:42:00,20,1,0
T4ANA1529,09:50:00,09:50:00,20,1,0
T4ANA1530,09:58:00,09:58:00,20,1,0
T4ANA1531,10:06:00,10:06:00,20,1,0
T4ANA1532,10:14:00,10:14:00,20,1,0
T4ANA1533,10:22:00,10:22:00,20,1,0
T4ANA1534,10:30:00,10:30:00,20,1,0
T4ANA1535,10:38:00,10:38:00,20,1,0
T4ANA1536,10:46:00,10:46:00,20,1,0
T4ANA1537,10:54:00,10:54:00,20,1,0
T4ANA1538,11:02:00,11:02:00,20,1,0
T4ANA1539,11:10:00,11:10:00,20,1,0
T4ANA1540,11:18:00,11:18:00,20,1,0
T4ANA1541,11:26:00,11:26:00,20,1,0
T4ANA1542,11:34:00,11:34:00,20,1,0
T4ANA1543,11:42:00,11:42:00,20,1,0
T4ANA1544,11:50:00,11:50:00,20,1,0
T4ANA1545,11:58:00,11:58:00,20,1,0
T4ANA1546,12:06:00,12:06:00,20,1,0
T4ANA1547,12:14:00,12:14:00,20,1,0
